run_name,algorithm,observation,reward,mean_coverage,success_rate,death_rate,mean_reward,mean_length,run_dir
20260401-155701-temporal_frontier_features_sparse_coverage,PPO,temporal_frontier_features,sparse_coverage,0.780085121995964,0.4,0.1,58.72750000000031,287.25,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155701-temporal_frontier_features_sparse_coverage
20260401-155823-temporal_frontier_features_dense_coverage,PPO,temporal_frontier_features,dense_coverage,0.7005213722252798,0.2,0.25,89.2327308054199,292.8,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155823-temporal_frontier_features_dense_coverage
20260401-155940-temporal_frontier_features_survival_coverage,PPO,temporal_frontier_features,survival_coverage,0.6370142191294398,0.15,0.35,52.15689974751976,272.75,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155940-temporal_frontier_features_survival_coverage
20260401-155600-frontier_features_survival_coverage,PPO,frontier_features,survival_coverage,0.5943534851325678,0.2,0.5,52.7333524472264,178.5,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155600-frontier_features_survival_coverage
20260401-155359-frontier_features_sparse_coverage,PPO,frontier_features,sparse_coverage,0.5547990572403135,0.2,0.6,39.389000000000124,136.1,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155359-frontier_features_sparse_coverage
20260401-155500-frontier_features_dense_coverage,PPO,frontier_features,dense_coverage,0.5139708154933476,0.2,0.4,63.38369430892847,224.95,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260401-155500-frontier_features_dense_coverage
