run_name,algorithm,observation,reward,mean_coverage,success_rate,death_rate,mean_reward,mean_length,run_dir
20260331-232254-temporal_frontier_features_survival_coverage,PPO,temporal_frontier_features,survival_coverage,0.6104947187423237,0.3,0.45,54.92442904085397,157.05,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232254-temporal_frontier_features_survival_coverage
20260331-232139-temporal_frontier_features_sparse_coverage,PPO,temporal_frontier_features,sparse_coverage,0.5814252461840309,0.3,0.4,42.41200000000002,188.8,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232139-temporal_frontier_features_sparse_coverage
20260331-232217-temporal_frontier_features_dense_coverage,PPO,temporal_frontier_features,dense_coverage,0.5719368736571427,0.3,0.45,64.45915981766714,158.1,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232217-temporal_frontier_features_dense_coverage
20260331-232114-frontier_features_survival_coverage,PPO,frontier_features,survival_coverage,0.5508117869835732,0.2,0.55,47.87354393036268,154.2,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232114-frontier_features_survival_coverage
20260331-232048-frontier_features_dense_coverage,PPO,frontier_features,dense_coverage,0.5184414615262632,0.2,0.5,60.01679092811433,177.6,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232048-frontier_features_dense_coverage
20260331-232022-frontier_features_sparse_coverage,PPO,frontier_features,sparse_coverage,0.5042756390523897,0.2,0.55,35.67850000000018,157.15,/Users/rileyspavor_1/Desktop/Project Code/runs/matrix/20260331-232022-frontier_features_sparse_coverage
